name,date,height,weight,Source
Jack Smith,4/1/2019,185,91,CSVtest.csv
Jack Black,4/2/2019,183,91,CSVtest.csv
Brock Bricks,4/10/2019,185,95,CSVtest2.csv
Jack Brack,6/7/2019,172,91,CSVtest2.csv
Jack Smith,4/1/2019,185,91,CSVtestA.csv
Jack Black,4/2/2019,183,91,CSVtestA.csv
Jan Smith,4/3/2019,64,130,CSVtestA.csv
JanBlack,4/4/2019,66,135,CSVtestA.csv
Brock Bricks,4/10/2019,185,95,CSVtestB.csv
Jack Brack,6/7/2019,172,91,CSVtestB.csv
Jan Smith,4/11/2019,65,135,CSVtestB.csv
Jack Smith,4/12/2019,70,170,CSVtestB.csv
Jen Smith,2019-05-02 00:00:00,153,50,EXCELtest.xlsx
Sam Smith,2019-01-02 00:00:00,160,55,EXCELtest.xlsx
Rock Royden,2019-05-02 00:00:00,160,52,EXCELtest2.xlsx
Brandon Snads,2019-10-02 00:00:00,175,80,EXCELtest2.xlsx
Jen Smith,2019-05-02 00:00:00,153,50,EXCELtestA.xlsx
Sam Smith,2019-01-02 00:00:00,160,55,EXCELtestA.xlsx
Joe Smith,2019-04-01 00:00:00,70,175,EXCELtestA.xlsx
Jill smith,2019-03-01 00:00:00,66,135,EXCELtestA.xlsx
Rock Royden,2019-05-02 00:00:00,160,52,EXCELtestB.xlsx
Brandon Snads,2019-10-02 00:00:00,175,80,EXCELtestB.xlsx
Matt Damon,2019-06-01 00:00:00,74,190,EXCELtestB.xlsx
Sean Conner,2019-07-01 00:00:00,72,200,EXCELtestB.xlsx
Jane Smith,09/02/2019,170,75,JSONtest.json
Percy Jackson,08/10/2005,68,155,JSONtest2.json
Becky Jackson,04/03/2019,165,70,JSONtest3.json
Jane Powers,10/31/2019,75,170,JSONtestA.json
Pamela Jackson,08/10/2019,175,70,JSONtestB.json
Pamela Jackson,08/10/2019,175,70,JSONtestB1.json
Titan Falls,05/03/2019,70,165,JSONtestC.json
John Smith,02/08/2019,180,100,XMLtest.xml
John Smithe,03/08/2019,185,101,XMLtest2.xml
Brett Smithe,05/08/2019,179,99,XMLtest3.xml
Big Tom,08/02/2019,112,200,XMLtestA.xml
Big Johne,08/03/2019,245,221,XMLtestB.xml
Harley Smithe,08/18/2019,197,88,XMLtestC.xml
